2013-03-12T16:10:14.738+0800: 72.502: [GC [PSYoungGen: 115335K->41784K(298688K)] 115335K->73785K(981376K), 0.0359780 secs] [Times: user=0.06 sys=0.07, real=0.03 secs] 
2013-03-12T16:10:14.774+0800: 72.538: [Full GC (System) [PSYoungGen: 41784K->0K(298688K)] [PSOldGen: 32000K->73729K(682688K)] 73785K->73729K(981376K) [PSPermGen: 5302K->5302K(16384K)], 0.0269780 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2013-03-12T16:10:16.873+0800: 74.637: [GC [PSYoungGen: 20485K->2032K(298688K)] 94214K->75761K(981376K), 0.0015400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:16.874+0800: 74.638: [Full GC (System) [PSYoungGen: 2032K->0K(298688K)] [PSOldGen: 73729K->75733K(682688K)] 75761K->75733K(981376K) [PSPermGen: 5305K->5305K(16384K)], 0.0128400 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2013-03-12T16:10:17.081+0800: 74.845: [GC [PSYoungGen: 10243K->48K(298688K)] 85977K->75781K(981376K), 0.0009750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:17.082+0800: 74.847: [Full GC (System) [PSYoungGen: 48K->0K(298688K)] [PSOldGen: 75733K->75737K(682688K)] 75781K->75737K(981376K) [PSPermGen: 5305K->5305K(16384K)], 0.0149430 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2013-03-12T16:10:17.266+0800: 75.030: [GC [PSYoungGen: 5121K->64K(298688K)] 80858K->75801K(981376K), 0.0009650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:17.267+0800: 75.031: [Full GC (System) [PSYoungGen: 64K->0K(298688K)] [PSOldGen: 75737K->75729K(682688K)] 75801K->75729K(981376K) [PSPermGen: 5306K->5303K(16384K)], 0.0213990 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2013-03-12T16:10:17.466+0800: 75.230: [GC [PSYoungGen: 10242K->1032K(298688K)] 85972K->76761K(981376K), 0.0012970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:17.467+0800: 75.231: [Full GC (System) [PSYoungGen: 1032K->0K(298688K)] [PSOldGen: 75729K->76733K(682688K)] 76761K->76733K(981376K) [PSPermGen: 5304K->5304K(16384K)], 0.0131180 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-03-12T16:10:17.665+0800: 75.429: [GC [PSYoungGen: 5121K->48K(298688K)] 81854K->76781K(981376K), 0.0009690 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:17.666+0800: 75.430: [Full GC (System) [PSYoungGen: 48K->0K(298688K)] [PSOldGen: 76733K->76737K(682688K)] 76781K->76737K(981376K) [PSPermGen: 5304K->5304K(16384K)], 0.0130500 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-03-12T16:10:17.849+0800: 75.613: [GC [PSYoungGen: 5121K->32K(298688K)] 81858K->76769K(981376K), 0.0011620 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:17.851+0800: 75.615: [Full GC (System) [PSYoungGen: 32K->0K(298688K)] [PSOldGen: 76737K->76740K(682688K)] 76769K->76740K(981376K) [PSPermGen: 5304K->5304K(16384K)], 0.0120170 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-03-12T16:10:18.041+0800: 75.805: [GC [PSYoungGen: 5121K->32K(298688K)] 81862K->76772K(981376K), 0.0011980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:18.043+0800: 75.807: [Full GC (System) [PSYoungGen: 32K->0K(298688K)] [PSOldGen: 76740K->76729K(682688K)] 76772K->76729K(981376K) [PSPermGen: 5304K->5304K(16384K)], 0.0215060 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2013-03-12T16:10:18.217+0800: 75.981: [GC [PSYoungGen: 5121K->32K(298688K)] 81851K->76761K(981376K), 0.0016190 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-03-12T16:10:18.219+0800: 75.983: [Full GC (System) [PSYoungGen: 32K->0K(298688K)] [PSOldGen: 76729K->76733K(682688K)] 76761K->76733K(981376K) [PSPermGen: 5304K->5304K(16384K)], 0.0158160 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
